name,PositionTemp,team,Opponent,Minutes,goals,assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,Match URL
Esther González,FW,Gotham FC,Wave,89,1,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Taryn Torres,FW,Gotham FC,Wave,1,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Crystal Dunn,LW,Gotham FC,Wave,65,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Katie Stengel,LW,Gotham FC,Wave,25,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Margaret Purce,RW,Gotham FC,Wave,44,0,0,0,1,0,False,1,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Yazmeen Ryan,RW,Gotham FC,Wave,46,0,1,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Emily Sonnett,LM,Gotham FC,Wave,90,0,0,0,1,0,False,1,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Nealy Martin,CM,Gotham FC,Wave,90,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Delanie Sheehan,RM,Gotham FC,Wave,90,0,0,0,1,0,False,1,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Jenna Nighswonger,LB,Gotham FC,Wave,90,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Tierna Davidson,CB,Gotham FC,Wave,90,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Samantha Hiatt,CB,Gotham FC,Wave,90,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Kelley O'Hara,RB,Gotham FC,Wave,65,0,0,0,1,0,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Bruninha,RB,Gotham FC,Wave,25,0,0,0,1,0,False,1,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
Cassie Miller,GK,Gotham FC,Wave,90,0,0,0,1,6,False,0,0,https://fbref.com/en/matches/d91aea7c/Portland-Thorns-FC-Gotham-FC-March-24-2024-NWSL
