name,PositionTemp,team,Opponent,Minutes,goals,assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,Match URL,position,FantasyPoints
Ashley Hatch,FW,Spirit,Reign,64,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,FW,2
Courtney Brown,FW,Spirit,Reign,26,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,FW,1
Ouleymata Sarr,LW,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,FW,2
Brittany Ratcliffe,RW,Spirit,Reign,64,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,FW,2
Makenna Morris,AM,Spirit,Reign,26,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,MF,1
Croix Bethune,AM,Spirit,Reign,89,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,MF,2
Lyza Bosselmann,GK,Spirit,Reign,1,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,GK,1
Hal Hershfelt,DM,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,MF,2
Andi Sullivan,DM,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,MF,2
Kate Wiesner,LB,Spirit,Reign,44,0,0,0,1,0,1,1,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,DF,0
Anaïg Butel,LB,Spirit,Reign,46,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,DF,1
Casey Krueger,CB,Spirit,Reign,90,0,0,0,1,0,1,1,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,DF,1
Tara McKeown,CB,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,DF,2
Gabrielle Carle,RB,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,DF,2
Aubrey Kingsbury,GK,Spirit,Reign,89,0,0,0,1,5,1,0,1,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL,GK,0
