name,PositionTemp,team,Opponent,Minutes,goals,assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,Match URL
Adriana,"FW,RW",Pride,Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Angelina,LW,Pride,Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Julie Doyle,"RW,FW,LB",Pride,Louisville,82,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Amanda Allen,LB,Pride,Louisville,8,0,1,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Marta,AM,Pride,Louisville,70,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Brianna Martinez,"RW,AM",Pride,Louisville,20,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Morgan Gautrat,DM,Pride,Louisville,70,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Summer Yates,"AM,DM",Pride,Louisville,20,1,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Luana,DM,Pride,Louisville,74,0,0,0,2,0,False,1,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Ally Lemos,"DM,AM",Pride,Louisville,16,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Kerry Abello,"LB,CB",Pride,Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Kylie Strom,CB,Pride,Louisville,61,0,0,0,2,0,False,2,1,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Emily Sams,CB,Pride,Louisville,90,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Haley Hanson,RB,Pride,Louisville,82,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Celia Jiménez,RB,Pride,Louisville,8,0,0,0,2,0,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
Anna Moorhouse,GK,Pride,Louisville,90,0,0,0,2,2,False,0,0,https://fbref.com/en/matches/580abedf/Racing-Louisville-Orlando-Pride-March-16-2024-NWSL
