name,PositionTemp,team,Opponent,Minutes,goals,assists,PKMissed,Goals Against,Saves,Clean Sheet,Yellow Cards,Red Cards,Match URL
Ashley Hatch,FW,Spirit,Reign,64,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Courtney Brown,FW,Spirit,Reign,26,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Ouleymata Sarr,LW,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Brittany Ratcliffe,RW,Spirit,Reign,64,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Makenna Morris,AM,Spirit,Reign,26,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Croix Bethune,AM,Spirit,Reign,89,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Lyza Bosselmann,GK,Spirit,Reign,1,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Hal Hershfelt,DM,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Andi Sullivan,DM,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Kate Wiesner,LB,Spirit,Reign,44,0,0,0,1,0,1,1,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Anaïg Butel,LB,Spirit,Reign,46,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Casey Krueger,CB,Spirit,Reign,90,0,0,0,1,0,1,1,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Tara McKeown,CB,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Gabrielle Carle,RB,Spirit,Reign,90,0,0,0,1,0,1,0,0,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
Aubrey Kingsbury,GK,Spirit,Reign,89,0,0,0,1,5,1,0,1,https://fbref.com/en/matches/96e0dd2c/Seattle-Reign-FC-Washington-Spirit-March-17-2024-NWSL
